飲食店店名,ジャンル,立地,営業j時間,定休日・臨時定休日,コンセント,Wi-fi,禁煙,英語対応,エレベーター,座席数,他のサービスの導入,電話番号,住所,反応やアドバイス,外部リンクURL,FB,Twitter,インスタグラム
渋谷 貸切パーティールームDeBarge,渋谷 貸切 パーティー,渋谷駅から徒歩1分, 12:00～24:00,,,,,,,,,050-3466-3652,〒150-0043 東京都渋谷区道玄坂1-3-6 香山ビル7F,,https://r.gnavi.co.jp/6wjpfr860000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
個室としゃぶしゃぶ食べ放題 金しゃぶ 渋谷駅前店,しゃぶしゃぶ個室居酒屋,渋谷駅から徒歩2分, 17:00～23:30(L.O.22:30、ドリンクL.O.23:00)(17:00～23:30(料理L.O22:30ドリンクL.O.23:00)お問い合わせ、ご予約24時間受付しております。  おすすめ宴会コース大好評です！！コースは100種超の飲み放題付きでもご用意できます。￥1980～￥5880までのご予算でお客様にお選びしていただく形となります。お客様のご来店心よりお待ちしております。),,,,,,,,,050-3373-7729,〒150-0043 東京都渋谷区道玄坂1-3-1 飯島ビルB2,,https://r.gnavi.co.jp/e113143/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
JOYSOUND 渋谷南口駅前店,居酒屋,渋谷駅から徒歩徒歩3分,月～日 11:00～翌6:00,,,,,,,,,03-5428-6016,〒150-0043 東京都渋谷区道玄坂1-3-1 渋谷駅前会館9F,,https://r.gnavi.co.jp/bvz5bu7p0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
渋谷貸切パーティー SuNaBa （スナバ）,渋谷でパーティー貸切,渋谷駅から徒歩1分,月～日 12:00～24:00(L.O.23:45)(貸切パーティー随時受付中。  会場の下見だけでもご案内可能ですので、まずはお気軽にお問い合わせください。),,,,,,,,,050-3462-1804,〒150-0043 東京都渋谷区道玄坂1-3-11 一番ビルB2,,https://r.gnavi.co.jp/3pn896s30000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
CATARATAS,ビールバー,渋谷駅から徒歩徒歩2分,月～金 ディナー：17:00～翌1:00(L.O.24:00)土・祝日 ディナー：17:00～24:00(L.O.23:00),,,,,,,,,03-3461-6615,〒150-0031 東京都渋谷区桜丘町16-14 ドルチェ渋谷B2,,https://r.gnavi.co.jp/nhv46z5y0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
BEE HOUSE  ～Italian Tapas～ 渋谷本店,渋谷イタリアン女子会,渋谷駅から徒歩3分, ランチ：11:30～15:00(L.O.14:30)月～木・日・祝日 ディナー：17:00～23:30(L.O.22:30、ドリンクL.O.23:00)金・土・祝前日 ディナー：17:00～23:30(L.O.22:30、ドリンクL.O.23:00),,,,,,,,,050-3462-0509,〒150-0043 東京都渋谷区道玄坂1-5-2 SEDEビルB1,,https://r.gnavi.co.jp/g011043/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
ビール１００円『たんと』渋谷店,渋谷ビール激安居酒屋,から徒歩分, 居酒屋タイム：17:00～翌5:00(L.O.4:00),,,,,,,,,080-4736-5793,〒150-0043 東京都渋谷区道玄坂1-9-1 梅山ビル,,https://r.gnavi.co.jp/djvu2e850000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
創作和食×個室居酒屋 吟の利久 渋谷総本店,渋谷の和食個室居酒屋,渋谷駅から徒歩3分, 16:00～24:00(L.O.23:00、ドリンクL.O.23:30)(※電話のお問い合わせは14時〜25時。ネット予約は24時間可能です),,,,,,,,,050-3461-5190,〒150-0043 東京都渋谷区道玄坂1-7-1 第一渋観ビル3F,,https://r.gnavi.co.jp/rvhm50fk0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
個室居酒屋 八吉 渋谷 二の丸,渋谷 和食 個室 接待,渋谷駅から徒歩2分,月～木 17:00～24:30金・祝前日 17:00～翌4:30土 17:00～23:30,,,,,,,,,03-3463-6088,〒150-0043 東京都渋谷区道玄坂1-7-1 第一渋観ビル1F,,https://r.gnavi.co.jp/g243646/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
桜丘 肉バル Gottsu ‐ゴッツ‐,ガブリ肉と厳選ワイン,渋谷駅から徒歩徒歩1分,月～金 ディナー：17:00～24:00(L.O.23:00)土・日・祝 ディナー：17:00～24:00(L.O.23:00),,,,,,,,,03-6427-0481,〒150-0031 東京都渋谷区桜丘町24-18 東松ビル1F,,https://r.gnavi.co.jp/8dw7yfer0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
居酒屋 しぶやくん 渋谷店,渋谷　居酒屋,渋谷駅から徒歩徒歩1分,月～土 ディナー：18:00～24:00(L.O.23:30)月～金 ランチ：11:45～14:30,,,,,,,,,03-6416-4558,〒150-0031 東京都渋谷区桜丘町24-18 ,,https://r.gnavi.co.jp/dk28au760000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
Villa Del Sol 渋谷,貸切ラウンジイタリアン,渋谷駅から徒歩3分,月～日・祝前日・祝日 24時間営業：(【ご予約に限り、24時間営業致します！】◆お昼からのパーティーや夜のパーティーにご利用ください！どうぞお気軽にご予約、ご相談のお問合せ下さい！),,,,,,,,,050-3313-1813,〒150-0043 東京都渋谷区道玄坂1-7-1 3F,,https://r.gnavi.co.jp/58fyb7h50000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
