飲食店店名,ジャンル,立地,営業j時間,定休日・臨時定休日,コンセント,Wi-fi,禁煙,英語対応,エレベーター,座席数,他のサービスの導入,電話番号,住所,反応やアドバイス,外部リンクURL,FB,Twitter,インスタグラム
渋谷 貸切パーティールームDeBarge,渋谷 貸切 パーティー,渋谷駅から徒歩1分, 12:00～24:00,,,,,,,,,050-3466-3652,〒150-0043 東京都渋谷区道玄坂1-3-6 香山ビル7F,,https://r.gnavi.co.jp/6wjpfr860000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
笑笑 渋谷南口駅前店,洋風居酒屋,渋谷駅から徒歩1分,月～木・日・祝日 18:00～翌1:00金・土・祝前日 18:00～翌5:00,,,,,,,,,03-3496-0688,〒150-0043 東京都渋谷区道玄坂1-3-6 香山ビル 5・6F,,https://r.gnavi.co.jp/gau4653/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
個室としゃぶしゃぶ食べ放題 金しゃぶ 渋谷駅前店,しゃぶしゃぶ個室居酒屋,渋谷駅から徒歩2分, 17:00～23:30(L.O.22:30、ドリンクL.O.23:00)(17:00～23:30(料理L.O22:30ドリンクL.O.23:00)お問い合わせ、ご予約24時間受付しております。  おすすめ宴会コース大好評です！！コースは100種超の飲み放題付きでもご用意できます。￥1980～￥5880までのご予算でお客様にお選びしていただく形となります。お客様のご来店心よりお待ちしております。),,,,,,,,,050-3373-7729,〒150-0043 東京都渋谷区道玄坂1-3-1 飯島ビルB2,,https://r.gnavi.co.jp/e113143/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
JOYSOUND 渋谷南口駅前店,居酒屋,渋谷駅から徒歩徒歩3分,月～日 11:00～翌6:00,,,,,,,,,03-5428-6016,〒150-0043 東京都渋谷区道玄坂1-3-1 渋谷駅前会館9F,,https://r.gnavi.co.jp/bvz5bu7p0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
kawara CAFE＆KITCHEN ＋ PLUS 東急東横店,夜景を臨むビアガーデン,渋谷駅から徒歩1分,月～金 16:00～22:30(※5月15日～9月23日までのビアガーデンの営業時間になります。   通常のレストラン利用は通常営業時間で承っております。)土・日・祝 15:00～22:30(※5月15日～9月23日までのビアガーデンの営業時間になります。   通常のレストラン利用は通常営業時間で承っております。) ランチ：11:00～17:00、ディナー：17:00～22:30(L.O.22:00、ドリンクL.O.22:00),,,,,,,,,050-3464-1023,〒150-0002 東京都渋谷区渋谷2-24-1 東急百貨店東横店西館9F,,https://r.gnavi.co.jp/c4kh0p890000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
魚民 渋谷南口駅前店,和風居酒屋,渋谷駅から徒歩3分,月～木・日・祝日 16:00～翌4:00金・土・祝前日 16:00～翌5:00,,,,,,,,,03-3476-1688,〒150-0043 東京都渋谷区道玄坂1-3-1 飯島ビル8F,,https://r.gnavi.co.jp/a444798/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
渋谷貸切パーティー SuNaBa （スナバ）,渋谷でパーティー貸切,渋谷駅から徒歩1分,月～日 12:00～24:00(L.O.23:45)(貸切パーティー随時受付中。  会場の下見だけでもご案内可能ですので、まずはお気軽にお問い合わせください。),,,,,,,,,050-3462-1804,〒150-0043 東京都渋谷区道玄坂1-3-11 一番ビルB2,,https://r.gnavi.co.jp/3pn896s30000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
CATARATAS,ビールバー,渋谷駅から徒歩徒歩2分,月～金 ディナー：17:00～翌1:00(L.O.24:00)土・祝日 ディナー：17:00～24:00(L.O.23:00),,,,,,,,,03-3461-6615,〒150-0031 東京都渋谷区桜丘町16-14 ドルチェ渋谷B2,,https://r.gnavi.co.jp/nhv46z5y0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
Irish Pub＆RestaurantFailte,本場アイリッシュパブ,渋谷駅から徒歩2分,月～土 17:30～翌2:00(L.O.23:00、ドリンクL.O.1:30)(月～土の23:00～以降はナイトメニューでの提供となります)日・祝日 15:00～23:00(L.O.22:30),,,,,,,,,050-3468-2567,〒150-0043 東京都渋谷区道玄坂1-5-2 渋谷SEDEビル5F,,https://r.gnavi.co.jp/b628602/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
清流 初つぼみ 渋谷店,渋谷 個室 和風居酒屋,渋谷駅から徒歩2分,月～木・土 17:00～23:00(L.O.22:30)金・祝前日 17:00～23:30(L.O.23:00)日・祝日 17:00～22:00(L.O.21:30),,,,,,,,,050-3462-0095,〒150-0043 東京都渋谷区道玄坂1-9-5 渋谷スクエアビルA棟B1,,https://r.gnavi.co.jp/g135749/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
