飲食店店名,ジャンル,立地,営業j時間,定休日・臨時定休日,コンセント,Wi-fi,禁煙,英語対応,エレベーター,座席数,他のサービスの導入,電話番号,住所,反応やアドバイス,外部リンクURL,FB,Twitter,インスタグラム
創作和食 代官山 楚々,和食と和菓子のお店,恵比寿駅から徒歩8分, ランチ：11:30～14:30、カフェ：14:30～17:00、ディナー：18:00～23:30(L.O.22:30),,,,,,,,,050-3467-6968,〒150-0021 東京都渋谷区恵比寿西1-34-28 1F,,https://r.gnavi.co.jp/ft33w8c80000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
星降る森のビアテラス Buffet 代官山,代官山贅沢ビアガーデン,代官山駅から徒歩3分,月～金 ディナー：18:00～22:30(L.O.21:30、ドリンクL.O.22:00)、ランチ：11:30～15:30(L.O.14:30)土・日・祝 ディナー：11:00～23:00(L.O.22:00、ドリンクL.O.22:30),,,,,,,,,050-3314-1902,〒150-0034 東京都渋谷区代官山町20-23,,https://r.gnavi.co.jp/rsupgd4w0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
タラタラ・タラッコ,フードコート　パスタ,代官山駅から徒歩徒歩2分,月～日 11:00～21:00,,,,,,,,,03-6455-0088,〒150-0034 東京都渋谷区代官山20-20 モンシェリー代官山B1,,https://r.gnavi.co.jp/n56gbt5g0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
ゴッパ,フードコート　カフェ,代官山駅から徒歩徒歩2分,月～日 11:00～21:00,,,,,,,,,03-6277-5866,〒150-0034 東京都渋谷区代官山町20-20 モンシェリー代官山B1,,https://r.gnavi.co.jp/90azxhsu0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
中國名菜 龍坊 代官山,中国名菜,代官山駅から徒歩徒歩1分, 11:00～15:00(L.O.15:00)、17:00～21:00(L.O.21:00),,,,,,,,,03-6455-0850,〒150-0021 東京都渋谷区恵比寿西1-33-36 代官山MBビルB1,,https://r.gnavi.co.jp/4ws1gd5n0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
晴れたら空に豆まいて,貸切パーティバンドOK,代官山駅から徒歩1分, 10:00～22:30(※パーティーの場合),,,,,,,,,050-3462-1867,〒150-0034 東京都渋谷区代官山町20-20 B2,,https://r.gnavi.co.jp/p1t873m90000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
代官山 和食と串揚げ 六角亭,串揚げ,代官山駅から徒歩徒歩2分,月～金 ランチ：12:00～14:30、ディナー：18:00～23:30土・祝日 ランチ：12:00～14:30土・祝日 ディナー：17:00～23:00,,,,,,,,,03-3780-4784,〒150-0021 東京都渋谷区恵比寿西1-36-5 ,,https://r.gnavi.co.jp/kh5z46wz0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
chano－ma 代官山,ちゃのまかふぇ,代官山駅から徒歩1分,月～木 10:00～22:00(L.O.21:00)金 10:00～23:30(L.O.22:30)土 11:00～23:30(L.O.22:30)日 11:00～22:00(L.O.21:00),,,,,,,,,050-3463-4226,〒150-0021 東京都渋谷区恵比寿西1-34-17 2F,,https://r.gnavi.co.jp/a026seac0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
GOBLIN．DAIKANYAMA,28～100名貸切OK,代官山駅から徒歩3分, 9:00～23:00(（要予約）),,,,,,,,,050-3490-8621,〒150-0021 東京都渋谷区恵比寿西1-33-18 コート代官山B1,,https://r.gnavi.co.jp/26fmu9j00000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
アジアンダイニング＆Bar Sathi 代官山店,ダイニングバー,代官山駅から徒歩2分,月～金 ランチ：11:30～15:30、ディナー：17:30～23:30(L.O.22:30、ドリンクL.O.23:15)土・日・祝 ランチ：11:30～17:00、ディナー：17:00～24:00(L.O.22:30、ドリンクL.O.23:30)(  ※2018／12／31は11:30～15:30・17:00～22:00（L.O.21:30、ドリンクL.O.21:30）にて営業),,,,,,,,,050-3477-6992,〒150-0033 東京都渋谷区猿楽町23-6 スコットサイド代官山2F,,https://r.gnavi.co.jp/ncy7y6w50000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
LE COMPTOIR OCCITAN,ビストロ/フレンチ,代官山駅から徒歩4分,月～日 11:00～23:00(L.O.22:00),,,,,,,,,050-3466-3004,〒150-0033 東京都渋谷区猿楽町29-18 ヒルサイドテラスA-6,,https://r.gnavi.co.jp/p2gvsdme0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
PARATACO,メキシコ料理,代官山駅から徒歩徒歩3分,月～日・祝前日・祝日 10:00～22:00( ),,,,,,,,,03-6452-5156,〒150-0034 東京都渋谷区代官山町13-6 88DAIKANYAMAビル1F,,https://r.gnavi.co.jp/29dged2s0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
N’s Garden,貸切ＢＢＱスペース,代官山駅から徒歩3分,月～日 12:00～23:00(L.O.22:30),,,,,,,,,050-3373-0039,〒150-0034 東京都渋谷区代官山町14-9 4F,,https://r.gnavi.co.jp/sfmcek8d0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
N’s Lounge,貸切×個室×イタリアン,代官山駅から徒歩徒歩3分,月～日 11:30～23:00(L.O.22:30),,,,,,,,,050-3188-8763,〒150-0034 東京都渋谷区代官山町14-9 B1・1F,,https://r.gnavi.co.jp/6gg0909p0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
清香園 代官山店,九州産黒毛和牛焼肉,恵比寿駅から徒歩5分, ランチ：11:30～15:00(L.O.14:30)、ディナー：17:30～23:30(L.O.23:00、ドリンクL.O.23:00)(※ご入店は22:30までとさせていただいております。),,,,,,,,,050-3469-4031,〒150-0021 東京都渋谷区恵比寿西1-30-14,,https://r.gnavi.co.jp/gcgf501/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
サカナズキ。,サカナズキが集う居酒屋,恵比寿駅から徒歩3分,月～土 17:00～翌1:00(L.O.24:20、ドリンクL.O.24:40)日・祝日 16:00～24:00(L.O.23:00、ドリンクL.O.23:30),,,,,,,,,050-3460-8322,〒150-0022 東京都渋谷区恵比寿南3-2-16 1F,,https://r.gnavi.co.jp/g314kxsj0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
