飲食店店名,ジャンル,立地,営業j時間,定休日・臨時定休日,コンセント,Wi-fi,禁煙,英語対応,エレベーター,座席数,他のサービスの導入,電話番号,住所,反応やアドバイス,外部リンクURL,FB,Twitter,インスタグラム
BALHARA,バル,代官山駅から徒歩徒歩1分,,,,,,,,,,03-6416-3150,〒150-0021 東京都渋谷区恵比寿西2-21-13 Fビル1F,,https://r.gnavi.co.jp/ekdgpfyn0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
PURE ARIA,イタリアン,代官山駅から徒歩徒歩1分,月～日 ランチ：11:30～16:00(L.O.15:30)月～日 ディナー：18:00～22:00(L.O.21:30)日・祝日 11:30～21:00(L.O.20:30),,,,,,,,,03-6455-2411,〒150-0034 東京都渋谷区代官山町20-9 サザン代官山1F‐C,,https://r.gnavi.co.jp/kawkcev80000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
イル パンツェロット 代官山店,ピザ,代官山駅から徒歩徒歩1分,,,,,,,,,,03-6416-0824,〒150-0034 東京都渋谷区代官山町20-9 HBLD代官山B1F・1F,,https://r.gnavi.co.jp/kuu9gwsz0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
SIGN ALLDAY,カフェ,代官山駅から徒歩徒歩1分,,,,,,,,,,03-3780-9570,〒150-0034 東京都渋谷区代官山町19-4 代官山ビル1F,,https://r.gnavi.co.jp/cgx6zc5r0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
クラフトビール×エスニック料理 Vege Holic 代官山,代官山 エスニック料理,代官山駅から徒歩徒歩1分, 11:30～23:00(L.O.22:30)日・祝日 11:30～21:00(L.O.20:30)(宴会等の場合は、対応させて頂きますのでお気軽にご相談くださいませ♪),,,,,,,,,080-4067-1180,〒150-0034 東京都渋谷区代官山町19-1 2F,,https://r.gnavi.co.jp/a9zuhvn50000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
串カツ田中 代官山店,串カツ,代官山駅から徒歩徒歩1分,,,,,,,,,,03-6809-0805,〒150-0034 東京都渋谷区代官山町19-1 代官山白磁館1F,,https://r.gnavi.co.jp/jd4rg1wp0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
春水堂 代官山店,お茶専門カフェ,代官山駅から徒歩徒歩1分, 11:00～21:00,,,,,,,,,03-6809-0234,〒150-0001 東京都渋谷区代官山町20-9 アクシス209代官山1F,,https://r.gnavi.co.jp/awgzhvtb0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
GRILL BURGER CLUB SASA,ハンバーガー,代官山駅から徒歩徒歩1分,,,,,,,,,,03-3770-1951,〒150-0021 東京都渋谷区恵比寿西2-21-15 ,,https://r.gnavi.co.jp/6s3p12kt0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
THE MARK trattoria,★気軽にイタリアン★,代官山駅から徒歩1分, ランチ：11:30～15:00(L.O.14:30)、ディナー：18:00～23:00(L.O.22:00),,,,,,,,,050-3461-7676,〒150-0021 東京都渋谷区恵比寿西2-21-15 代官山ポケットパークビル1F,,https://r.gnavi.co.jp/7gw8rz2m0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
daikanyama O’KOK（ダイカンヤマ オーコク）,イタリアンバー,代官山駅から徒歩1分, 18:00～23:30(L.O.22:30、ドリンクL.O.23:00)水～日 12:00～15:00(L.O.14:00),,,,,,,,,050-3314-2242,〒150-0021 東京都渋谷区恵比寿西2-21-15 代官山ポケットパーク1F,,https://r.gnavi.co.jp/e078b9zw0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
