飲食店店名,ジャンル,立地,営業j時間,定休日・臨時定休日,コンセント,Wi-fi,禁煙,英語対応,エレベーター,座席数,他のサービスの導入,電話番号,住所,反応やアドバイス,外部リンクURL,FB,Twitter,インスタグラム
横浜家系ラーメン 淵野辺 大和家,ラーメン,淵野辺駅から徒歩徒歩1分, 11:00～翌03:00,,,,,,,,,042-757-7705,〒252-0206 神奈川県相模原市中央区淵野辺3-5-16 ,,https://r.gnavi.co.jp/dkmhj1yj0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
イタリアントマトカフェJr. 淵野辺駅南口店,カフェ,淵野辺駅から徒歩徒歩1分,,,,,,,,,,042-751-0761,〒252-0206 神奈川県相模原市中央区淵野辺3-5-16 ,,https://r.gnavi.co.jp/kejc6a9e0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
あじさい茶屋 淵野辺店,そば,淵野辺駅から徒歩徒歩1分,月～金 07:00～21:00土・日・祝日 08:00～18:00,,,,,,,,,042-753-6018,〒252-0206 神奈川県相模原市中央区淵野辺3-5-16 JR淵野辺駅（改札外）　北口デッキ,,http://r.gnavi.co.jp/ct0nbrvh0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
サンマルクカフェ 淵野辺駅店,焼きたてパン・珈琲,淵野辺駅から徒歩1分,月～金 6:30～21:30土・日・祝 7:30～21:30,,,,,,,,,042-759-7309,〒252-0206 神奈川県相模原市中央区淵野辺3-5-16,,https://r.gnavi.co.jp/gb00416/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
大戸屋 ごはん処 淵野辺店,家庭食の代行業・定食,淵野辺駅から徒歩1分, 11:00～23:00(L.O.22:30),,,,,,,,,042-750-7605,〒252-0206 神奈川県相模原市中央区淵野辺4-16-36,,https://r.gnavi.co.jp/168m8v2a0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
OSOZAi＋CAFE美濃味匠 淵野辺店,カフェ,淵野辺駅から徒歩徒歩1分,,,,,,,,,,042-750-8131,〒252-0206 神奈川県相模原市中央区淵野辺4-16-36 ,,https://r.gnavi.co.jp/5z9z50f40000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
ドトールコーヒーショップ 淵野辺南口店,カフェ,淵野辺駅から徒歩徒歩1分,月～土 07:30～21:00日・祝日 08:00～20:00,,,,,,,,,042-757-1014,〒252-0206 神奈川県相模原市中央区淵野辺4-16-36 ,,https://r.gnavi.co.jp/j4sv6u6z0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
餃子の王将 淵野辺店,中華レストラン,淵野辺駅から徒歩1分, 11:00～22:30(L.O.22:00),,,,,,,,,042-756-1912,〒252-0206 神奈川県相模原市中央区淵野辺4-16-35,,https://r.gnavi.co.jp/e990331/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
カラオケ本舗まねきねこ 淵野辺北口店,カラオケ,淵野辺駅から徒歩徒歩1分,月～日 24時間営業,,,,,,,,,042-707-4083,〒252-0206 神奈川県相模原市中央区淵野辺4-15-23 相田ビル2F,,https://r.gnavi.co.jp/f0t1b8uv0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
ディープフォレスト,カラオケ,淵野辺駅から徒歩徒歩2分,月～木・日 11:00～翌5:00(L.O.4:30)金・土・祝前日 11:00～翌7:00(L.O.6:30)(※2017／12／25～28は11:00～翌7:00（L.O.6:30）にて営業),,,,,,,,,042-730-3311,〒252-0206 神奈川県相模原市中央区淵野辺3-19-15 3F,,https://r.gnavi.co.jp/8k19ypc30000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
旨唐揚げと居酒メシ ミライザカ 淵野辺北口駅前店,居酒屋 個室,淵野辺駅から徒歩3分, ディナー：17:00～翌3:00金・土・祝前日 ディナー：17:00～翌5:00,,,,,,,,,050-3464-2020,〒252-0206 神奈川県相模原市中央区淵野辺3-19-15 秀和ビル2F,,https://r.gnavi.co.jp/4wtmfdu10000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
大松,そば,淵野辺駅から徒歩徒歩2分,,,,,,,,,,042-752-2006,〒252-0206 神奈川県相模原市中央区淵野辺4-15-10 ,,https://r.gnavi.co.jp/168wtgcr0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
KUBOTA 250,和食,淵野辺駅から徒歩徒歩1分,月～日 ディナー：16:00～翌1:00(L.O.23:45),,,,,,,,,042-757-5560,〒252-0206 神奈川県相模原市中央区淵野辺3-5-10 JR淵野辺駅北口集合店舗B棟,,https://r.gnavi.co.jp/eme0w2bz0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
寿司居酒屋 や台ずし 淵野辺北口駅前町,本格寿司職人の居酒屋,淵野辺駅から徒歩1分, 16:00～翌2:00(L.O.1:30),,,,,,,,,050-3477-5018,〒252-0206 神奈川県相模原市中央区淵野辺3-6-14 リーヴルスタジオ1F,,https://r.gnavi.co.jp/mfx2xxkv0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
焼鳥屋 鳥貴族 淵野辺店,焼鳥,淵野辺駅から徒歩2分, 17:00～翌1:00(L.O.24:30),,,,,,,,,042-756-9050,〒252-0206 神奈川県相模原市中央区淵野辺4-15-4 1F,,https://r.gnavi.co.jp/f2tehpb60000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
