飲食店店名,ジャンル,立地,営業j時間,定休日・臨時定休日,コンセント,Wi-fi,禁煙,英語対応,エレベーター,座席数,他のサービスの導入,電話番号,住所,反応やアドバイス,外部リンクURL,FB,Twitter,インスタグラム
圭助 日吉,居酒屋,日吉駅から徒歩1分,月～金 ランチ：12:00～14:00(L.O.13:40)月～土 ディナー：17:00～23:00(L.O.22:00、ドリンクL.O.22:30),,,,,,,,,050-3464-0891,〒223-0062 神奈川県横浜市港北区日吉本町1-1-9 ビッグ日吉駅前店舗1・2F,,https://r.gnavi.co.jp/gyt2he8v0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
串焼き処 日比谷鳥こまち 日吉店,串焼き 居酒屋 ﾓﾂ,日吉駅から徒歩徒歩2分,月～土・祝前日・祝日 17:00～翌9:00(L.O.7:30)日 17:00～翌1:00(L.O.24:00),,,,,,,,,045-561-8666,〒223-0062 神奈川県横浜市港北区日吉本町1-2-17 ,,https://r.gnavi.co.jp/fvczj8g50000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
アジアンビストロ Dai 日吉店,ビストロ アジア料理,日吉駅から徒歩徒歩2分, 11:00～24:00(L.O.23:00),,,,,,,,,045-620-4582,〒223-0062 神奈川県横浜市港北区日吉本町1-20-8 ,,https://r.gnavi.co.jp/d50km27u0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
GYOZA ROCCOMAN 日吉店,お洒落なビストロ＆餃子,日吉駅から徒歩2分, ディナー：17:00～24:00、ランチ：11:30～15:00,,,,,,,,,050-3467-0374,〒223-0062 神奈川県横浜市港北区日吉本町1-2-11,,https://r.gnavi.co.jp/7brpkw240000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
食べ放題 元氣七輪焼肉 牛繁 日吉店,焼肉食べ放題飲み放題,日吉駅から徒歩1分,月～土・祝前日 17:00～24:00日・祝日 16:00～23:00,,,,,,,,,050-3373-6246,〒223-0062 神奈川県横浜市港北区日吉本町1-2-5 永楽ビル1F,,https://r.gnavi.co.jp/3kfbe38y0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
時間無制限 150種食べ放題 BARU AJITO 日吉店,時間無制限食べ飲み放題,日吉駅から徒歩3分,金・土 ディナー：17:00～翌5:00月～木・日・祝日 16:00～24:00,,,,,,,,,050-3463-4843,〒223-0062 神奈川県横浜市港北区日吉本町1-19-18 ビック第一ビル1F,,https://r.gnavi.co.jp/g758703/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
Number3 cafe＆Dining 日吉店,カフェ＆バー,日吉駅から徒歩3分,月～日 ランチ：11:00～15:00月～日 ディナー：18:00～23:00,,,,,,,,,050-3462-9276,〒223-0062 神奈川県横浜市港北区日吉本町1-19-18 3F,,https://r.gnavi.co.jp/4wv6zyn20000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
DINING CAFE YOU＆I,カジュアルダイニング,日吉駅から徒歩1分,月～日 ランチ・ディナー：10:00～24:00(L.O.23:30),,,,,,,,,050-3469-2334,〒223-0061 神奈川県横浜市港北区日吉2-4-13 2F,,https://r.gnavi.co.jp/pca84rk90000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
蓮華庵 其の弐 横浜日吉,居酒屋,日吉駅から徒歩徒歩2分,月～金 ランチ：11:30～15:00(L.O.14:00)((祝日は除きます。))、ディナー：17:00～24:00(L.O.23:30)土・日・祝日 ディナー：16:00～24:00(L.O.23:30),,,,,,,,,045-561-1129,〒223-0062 神奈川県横浜市港北区日吉本町1-24-16 ,,https://r.gnavi.co.jp/5s694ded0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
呑みきち 日吉店,増築！焼鳥もつ鍋鮮魚！,日吉駅から徒歩2分,月～土 17:00～翌8:00(L.O.7:00)(お盆と年末年始は営業日変更ございます。)日 17:00～23:00(L.O.22:00)(お盆と年末年始は営業日変更ございます。),,,,,,,,,050-3491-1124,〒223-0062 神奈川県横浜市港北区日吉本町1-5-41 坂口屋ビルB1,,https://r.gnavi.co.jp/b464000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
和IN場 MARU ワインバマル 日吉,日吉/ワイン居酒屋,日吉駅から徒歩4分,月～日・祝前日・祝日 17:30～翌1:00(L.O.24:00),,,,,,,,,050-3463-4278,〒223-0062 神奈川県横浜市港北区日吉本町1-5-39 丸京ビル1F,,https://r.gnavi.co.jp/a578003/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
