飲食店店名,ジャンル,立地,営業j時間,定休日・臨時定休日,コンセント,Wi-fi,禁煙,英語対応,エレベーター,座席数,他のサービスの導入,電話番号,住所,反応やアドバイス,外部リンクURL,FB,Twitter,インスタグラム
ミスタードーナツ 日吉駅前,スイーツ,日吉（神奈川県）駅から徒歩徒歩1分,,,,,,,,,,045-565-1221,〒223-0062 神奈川県横浜市港北区日吉本町1-1-12 ,,https://r.gnavi.co.jp/pd6v8dc30000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
マクドナルド 日吉駅前店,ハンバーガー,日吉駅から徒歩1分, 24時間営業：(  ※日曜日・祝日 23:00閉店)、5:00～10:30((朝マック)),,,,,,,,,045-563-8580,〒223-0062 神奈川県横浜市港北区日吉本町1-22-1,,https://r.gnavi.co.jp/e835788/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
中国名菜 龍華,中華料理,日吉駅から徒歩1分,月・水～土 ランチ：11:30～14:00(L.O.14:00)月・水～土 ディナー：14:00～23:00(L.O.22:30)日・祝日 ランチ：11:30～14:00(L.O.14:00)日・祝日 ディナー：14:00～22:00,,,,,,,,,050-3468-7532,〒223-0062 神奈川県横浜市港北区日吉本町1-21-2,,https://r.gnavi.co.jp/1z5u2ty40000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
吉野家 日吉駅前店,牛丼,日吉駅から徒歩1分,月～日 4:00～翌2:00,,,,,,,,,045-560-1415,〒223-0062 神奈川県横浜市港北区日吉本町1-22-10,,https://r.gnavi.co.jp/f56jy9vp0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
日高屋 日吉西口店,熱烈中華食堂,日吉駅から徒歩1分,月～木・日・祝日 10:00～翌2:00(L.O.1:30)金・土 10:00～翌4:00,,,,,,,,,045-562-3644,〒223-0062 神奈川県横浜市港北区日吉本町1-21-3 薄井ビル1F,,https://r.gnavi.co.jp/e995589/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
北海道唐揚げ えぞ丸 日吉店,鶏料理,日吉（神奈川県）駅から徒歩徒歩1分,月～金 11:00～22:00土・日・祝日 11:00～21:00,,,,,,,,,045-564-1811,〒223-0062 神奈川県横浜市港北区日吉本町1-1-10 ,,https://r.gnavi.co.jp/fg0urcxh0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
ドトールコーヒーショップ 日吉店,カフェ,日吉（神奈川県）駅から徒歩徒歩1分,,,,,,,,,,045-560-3305,〒223-0062 神奈川県横浜市港北区日吉本町1-21-9 ,,https://r.gnavi.co.jp/5fv7ny0r0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
鳥廣,焼き鳥,日吉（神奈川県）駅から徒歩徒歩1分,,,,,,,,,,045-561-4405,〒223-0062 神奈川県横浜市港北区日吉本町1-21-5 ,,https://r.gnavi.co.jp/4ye01csk0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
HI．HOW ARE YOU,カレーライス,日吉（神奈川県）駅から徒歩徒歩1分,,,,,,,,,,045-548-8153,〒223-0062 神奈川県横浜市港北区日吉本町1-21-5 西之蔵ビル3F,,https://r.gnavi.co.jp/ftkukatw0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
かくれが,バー,日吉（神奈川県）駅から徒歩徒歩1分,月～日 カフェ：16:00～24:00,,,,,,,,,045-565-9779,〒223-0062 神奈川県横浜市港北区日吉本町1-1-9 2F,,https://r.gnavi.co.jp/1ved1ppn0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
