飲食店店名,ジャンル,立地,営業j時間,定休日・臨時定休日,コンセント,Wi-fi,禁煙,英語対応,エレベーター,座席数,他のサービスの導入,電話番号,住所,反応やアドバイス,外部リンクURL,FB,Twitter,インスタグラム
大戸屋 ごはん処 元住吉駅前店,家庭食の代行業・定食,元住吉駅から徒歩1分, 11:00～23:00(L.O.22:30),,,,,,,,,044-863-7515,〒211-0025 神奈川県川崎市中原区木月1-36-12 元住吉駅ビル2F,,https://r.gnavi.co.jp/4bx2cm4k0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
横浜ラーメン てっぺん家,ラーメン店,から徒歩分,月～金 ランチ：11:30～15:00月～金 ディナー：18:00～翌1:00土 11:30～翌1:00日 11:30～22:00,,,,,,,,,044-434-2737,〒211-0025 神奈川県川崎市中原区木月2-4-10 クレセントハイム1階,,https://r.gnavi.co.jp/2e5jky6s0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
タリーズコーヒー 元住吉駅店,コーヒー,元住吉駅から徒歩徒歩1分,,,,,,,,,,044-431-3358,〒211-0025 神奈川県川崎市中原区木月1-36-12 元住吉駅ビル1F,,https://r.gnavi.co.jp/64advafn0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
しゃぶしゃぶ温野菜 元住吉店,しゃぶしゃぶ 食べ放題,元住吉駅から徒歩徒歩1分,月～金 ディナー：17:00～24:00土・日・祝日 ディナー：16:00～24:00,,,,,,,,,044-431-3429,〒211-0025 神奈川県川崎市中原区木月1-36-12 2F,,https://r.gnavi.co.jp/s05p1mxf0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
瓢箪,居酒屋,元住吉駅から徒歩徒歩1分, 17:00～23:00,,,,,,,,,044-422-0677,〒211-0025 神奈川県川崎市中原区木月2-4-6 ,,https://r.gnavi.co.jp/m4yamkgf0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
ブラッスリー あー屋,居酒屋,元住吉駅から徒歩徒歩1分, 09:00～21:00,,,,,,,,,044-435-2551,〒211-0025 神奈川県川崎市中原区木月2-8-36 ,,https://r.gnavi.co.jp/r0buk0rf0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
やきとり家 すみれ 元住吉店,焼き鳥,女性向け,宴会,元住吉駅から徒歩1分,月～木・日・祝日 17:00～24:00(L.O.23:00)金・土 17:00～翌2:00(ドリンクL.O.1:30)(※商品在庫、その他状況に応じて閉店時間を早める場合がございます。   事前にお問い合わせください。),,,,,,,,,050-3491-0078,〒211-0025 神奈川県川崎市中原区木月2-8-1 1F,,https://r.gnavi.co.jp/3zghjk6j0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
いーはとーぶ,喫茶店,元住吉駅から徒歩徒歩1分, 06:40～23:00,,,,,,,,,044-433-9451,〒211-0025 神奈川県川崎市中原区木月2-4-1 ,,https://r.gnavi.co.jp/b7k8xg1h0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
炭火串焼 喜酉,串焼き,元住吉駅から徒歩徒歩1分,,,,,,,,,,044-863-9487,〒211-0025 神奈川県川崎市中原区木月2-8-2 ウィング元住吉1F,,https://r.gnavi.co.jp/g6tthu8p0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
和風居酒屋 和乙酒房 満MARU まんまる 元住吉,元住吉隠れ家的居酒屋★,元住吉駅から徒歩1分, ディナー：17:30～翌1:00(L.O.24:00),,,,,,,,,050-3463-6369,〒211-0025 神奈川県川崎市中原区木月1-35-19 MSBLDG11 1F,,https://r.gnavi.co.jp/jatsg7j40000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
沖縄食堂 空と海と太陽と,定番沖縄料理と沖縄そば,元住吉駅から徒歩徒歩1分,月～日 ランチ・ディナー：11:00～翌3:30,,,,,,,,,044-750-9421,〒211-0025 神奈川県川崎市中原区木月2-5-2 ,,https://r.gnavi.co.jp/3wbj5u1g0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
焼肉 のんちゃん 元住吉店,焼肉,元住吉駅から徒歩徒歩1分, 夕食：17:00～24:00(L.O.23:00)(仕入状況や連休（ＧＷ・お盆・年末年始）により営業日、開店・閉店時間の変更がある場合などがございます。遠くからお越しのお客様はお電話でのご確認を推奨しております。),,,,,,,,,044-982-3771,〒211-0025 神奈川県川崎市中原区木月2-5-14 KMGビル1F-E,,https://r.gnavi.co.jp/1fewwyux0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
バルクギア 元住吉店,カフェ,元住吉駅から徒歩徒歩2分,,,,,,,,,,044-750-7899,〒211-0025 神奈川県川崎市中原区木月1-35-36 ,,https://r.gnavi.co.jp/bnguj9jm0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
